Error, Delta Error
-61, 61
-57, -4
-32, -25
-17, -15
-7, -10
0, -7
4, -4
6, -2
7, -1
6, 1
7, -1
6, 1
6, 0
5, 1
5, 0
4, 1
4, 0
4, 0
3, 1
3, 0
4, -1
3, 1
3, 0
2, 1
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
1, 1
1, 0
1, 0
1, 0
1, 0
1, 0
0, 1
-5, 5
-2, -3
-1, -1
0, -1
1, -1
1, 0
-5, 6
-2, -3
0, -2
0, 0
1, -1
1, 0
1, 0
1, 0
2, -1
1, 1
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
-3, 4
-4, 1
-2, -2
0, -2
-6, 6
-2, -4
-1, -1
0, -1
1, -1
1, 0
2, -1
2, 0
2, 0
1, 1
1, 0
1, 0
-5, 6
-2, -3
-1, -1
-6, 5
-2, -4
-1, -1
1, -2
1, 0
2, -1
2, 0
1, 1
-4, 5
-2, -2
-6, 4
-2, -4
0, -2
1, -1
1, 0
2, -1
2, 0
-4, 6
-1, -3
-6, 5
-2, -4
0, -2
1, -1
2, -1
2, 0
-3, 5
-1, -2
-5, 4
-1, -4
0, -1
2, -2
-1, 3
-2, 1
-6, 4
-2, -4
1, -3
2, -1
0, 2
-2, 2
-5, 3
-1, -4
1, -2
2, -1
-2, 4
-1, -1
-5, 4
0, -5
2, -2
-3, 5
-6, 3
-2, -4
1, -3
2, -1
-2, 4
-5, 3
0, -5
2, -2
-2, 4
-6, 4
-1, -5
2, -3
-1, 3
-6, 5
-1, -5
2, -3
-2, 4
-5, 3
0, -5
2, -2
-1, 3
-4, 3
0, -4
-3, 3
-5, 2
0, -5
-1, 1
-5, 4
0, -5
0, 0
-6, 6
0, -6
-1, 1
-5, 4
1, -6
-2, 3
-4, 2
2, -6
-2, 4
-3, 1
-1, -2
-6, 5
0, -6
-2, 2
-3, 1
-1, -2
-5, 4
0, -5
-7, 7
0, -7
-1, 1
-2, 1
-3, 1
-3, 0
-2, -1
-4, 2
-2, -2
-4, 2
-2, -2
-3, 1
-2, -1
-3, 1
-3, 0
-2, -1
-8, 6
-2, -6
-4, 2
-1, -3
-3, 2
-2, -1
-2, 0
-6, 4
-4, -2
-3, -1
-6, 3
-2, -4
-2, 0
-7, 5
-3, -4
-3, 0
-4, 1
-8, 4
-1, -7
-4, 3
-4, 0
-7, 3
-3, -4
-3, 0
-4, 1
-5, 1
-6, 1
-8, 2
-2, -6
-5, 3
-5, 0
-5, 0
-6, 1
-6, 0
-5, -1
-6, 1
-7, 1
-6, -1
-8, 2
-6, -2
-11, 5
-8, -3
-6, -2
-7, 1
-6, -1
-6, 0
-10, 4
-8, -2
-7, -1
-12, 5
-8, -4
-13, 5
-9, -4
-8, -1
-10, 2
-9, -1
-11, 2
-14, 3
-9, -5
-12, 3
-14, 2
-16, 2
-10, -6
-11, 1
-14, 3
-14, 0
-15, 1
-15, 0
-16, 1
-20, 4
-18, -2
-17, -1
-20, 3
-18, -2
-22, 4
-19, -3
-22, 3
-22, 0
-24, 2
-25, 1
-28, 3
-28, 0
-30, 2
-33, 3
-33, 0
-30, -3
-36, 6
-33, -3
-39, 6
-41, 2
-42, 1
-47, 5
-46, -1
-51, 5
-51, 0
-56, 5
-57, 1
-61, 4
-68, 7
-75, 7
-81, 6
-87, 6
-91, 4
-98, 7
-109, 11
-114, 5
-127, 13
-127, 0
-117, -10
-114, -3
-107, -7
-105, -2
-109, 4
-113, 4
-116, 3
-130, 14
-151, 21
-174, 23
-202, 28
-199, -3
-200, 1
-199, -1
-214, 15
-243, 29
-269, 26
-291, 22
-291, 0
-268, -23
-245, -23
-263, 18
-284, 21
-303, 19
-318, 15
-330, 12
-289, -41
-252, -37
-262, 10
-277, 15
-294, 17
-310, 16
-321, 11
-279, -42
-250, -29
-257, 7
-269, 12
-287, 18
-297, 10
-310, 13
-271, -39
-235, -36
-246, 11
-256, 10
-267, 11
-283, 16
-291, 8
-260, -31
-232, -28
-212, -20
-221, 9
-244, 23
-270, 26
-293, 23
-297, 4
-262, -35
-232, -30
-209, -23
-222, 13
-256, 34
-273, 17
-295, 22
-301, 6
-278, -23
-248, -30
-226, -22
-241, 15
-263, 22
-283, 20
-302, 19
-312, 10
-276, -36
-251, -25
-224, -27
-242, 18
-261, 19
-279, 18
-299, 20
-310, 11
-276, -34
-243, -33
-218, -25
-238, 20
-262, 24
-279, 17
-292, 13
-290, -2
-257, -33
-228, -29
-233, 5
-255, 22
-269, 14
-286, 17
-280, -6
-238, -42
-185, -53
-214, 29
-244, 30
-259, 15
-275, 16
-263, -12
-216, -47
-144, -72
-110, -34
-92, -18
-101, 9
-149, 48
-214, 65
-256, 42
-256, 0
-170, -86
-121, -49
-91, -30
-80, -11
-71, -9
-65, -6
-64, -1
-60, -4
-55, -5
-62, 7
-58, -4
-60, 2
-55, -5
-57, 2
-57, 0
-54, -3
-53, -1
-51, -2
-53, 2
-50, -3
-48, -2
-47, -1
-44, -3
-44, 0
-40, -4
-42, 2
-43, 1
-39, -4
-36, -3
-37, 1
-35, -2
-36, 1
-33, -3
-35, 2
-33, -2
-34, 1
-30, -4
-28, -2
-31, 3
-28, -3
-28, 0
-28, 0
-26, -2
-27, 1
-28, 1
-25, -3
-27, 2
-24, -3
-23, -1
-24, 1
-22, -2
-21, -1
-19, -2
-21, 2
-21, 0
-20, -1
-20, 0
-19, -1
-18, -1
-16, -2
-16, 0
-15, -1
-15, 0
-13, -2
-12, -1
-12, 0
-10, -2
-10, 0
-16, 6
-15, -1
-13, -2
-10, -3
-7, -3
-12, 5
-13, 1
-9, -4
-6, -3
-12, 6
-12, 0
-7, -5
-3, -4
-13, 10
-8, -5
-3, -5
-11, 8
-7, -4
-9, 2
-9, 0
-3, -6
-8, 5
-6, -2
-1, -5
-11, 10
-3, -8
-8, 5
-5, -3
-7, 2
-5, -2
-6, 1
-5, -1
-6, 1
-5, -1
1, -6
-7, 8
0, -7
-8, 8
0, -8
-8, 8
0, -8
-8, 8
-5, -3
-4, -1
-4, 0
-3, -1
-4, 1
-1, -3
-4, 3
0, -4
-6, 6
1, -7
-6, 7
-3, -3
-2, -1
-3, 1
0, -3
-6, 6
2, -8
-5, 7
-3, -2
-1, -2
-4, 3
1, -5
-5, 6
-2, -3
-1, -1
-3, 2
2, -5
-5, 7
-2, -3
-1, -1
-3, 2
3, -6
-4, 7
-1, -3
0, -1
-4, 4
3, -7
-4, 7
-2, -2
1, -3
-3, 4
3, -6
-3, 6
-2, -1
1, -3
-5, 6
-2, -3
0, -2
0, 0
3, -3
-3, 6
-1, -2
0, -1
0, 0
2, -2
-3, 5
-1, -2
0, -1
0, 0
2, -2
-1, 3
4, -5
-3, 7
-1, -2
1, -2
1, 0
2, -1
